Part,Factor,Total_OT,Change
Part1,0.8,90.576729,-29.187729169999997
Part1,1.0,119.76445817,0.0
Part1,1.2,150.243396,30.478937829999992
Part2,0.8,83.62304317,-36.141414999999995
Part2,1.0,119.76445817,0.0
Part2,1.2,165.038345,45.273886829999995
Part3,0.8,95.06027317,-24.704184999999995
Part3,1.0,119.76445817,0.0
Part3,1.2,149.48986,29.725401829999996
Part4,0.8,99.230575,-20.533883169999996
Part4,1.0,119.76445817,0.0
Part4,1.2,141.58955,21.825091830000005
Part5,0.8,102.41006300000001,-17.35439516999999
Part5,1.0,119.76445817,0.0
Part5,1.2,131.76445817,12.000000000000014
