Part,Factor,Shortfall,Total_Cost
Part1,0.9,0.0,12224.747340000002
Part1,1.0,290.92308,13324.769339999999
Part1,1.1,740.92308,14674.769339999999
Part2,0.9,710.66667,12124.76925
Part2,1.0,1110.6667,13324.769339999999
Part2,1.1,1510.6667,14524.769339999999
Part3,0.9,0.0,12554.76924
Part3,1.0,0.0,13324.769339999999
Part3,1.1,0.0,13891.76925
Part4,0.9,0.0,12428.04405
Part4,1.0,0.0,13324.769339999999
Part4,1.1,0.0,14247.846239999999
Part5,0.9,0.0,12433.318770000002
Part5,1.0,0.0,13324.769339999999
Part5,1.1,0.0,14024.76933
