Penalty,Holding,Total_Cost,Shortfall,Inventory
1,1,5926.31074,5926.31074,0
1,2,5926.31074,5926.31074,0
1,3,5926.31074,5926.31074,0
1,5,5926.31074,5926.31074,0
3,1,12694.092390000002,818.72344,0
3,2,12694.092390000002,818.72344,0
3,3,12694.092390000002,818.72344,0
3,5,12694.092390000002,818.72344,0
5,1,14331.539270000001,818.72344,0
5,2,14331.539270000001,818.72344,0
5,3,14331.539270000001,818.72344,0
5,5,14331.539270000001,818.72344,0
10,1,18425.15647,818.72344,0
10,2,18425.15647,818.72344,0
10,3,18425.15647,818.72344,0
10,5,18425.15647,818.72344,0
